hash,rel,full,name,size,db_file_path_ref,text_ref,referenced,action,reason
81762B962F750D176FC70EDBCBDB8A460B3166ED8ADBFE50FC400E5D4FB38685,1\9cd3e6ace31c43b1b111d87c5e7dfcb2.png,C:\panda-gallery\originals\1\9cd3e6ace31c43b1b111d87c5e7dfcb2.png,9cd3e6ace31c43b1b111d87c5e7dfcb2.png,289572,True,False,True,keep,referenced_by_db_file_path_or_text
81762B962F750D176FC70EDBCBDB8A460B3166ED8ADBFE50FC400E5D4FB38685,2\cabca786ad4242a9b49ee8c3369a93ce.png,C:\panda-gallery\originals\2\cabca786ad4242a9b49ee8c3369a93ce.png,cabca786ad4242a9b49ee8c3369a93ce.png,289572,True,True,True,keep,referenced_by_db_file_path_or_text
0F8EB9E130208E3B37FB4E4204CFE12941FC3FF25D2C60FDDCBD70A49800905C,1\5cba417bae8c4fd18d3cb7588380a908.jpg,C:\panda-gallery\originals\1\5cba417bae8c4fd18d3cb7588380a908.jpg,5cba417bae8c4fd18d3cb7588380a908.jpg,18302,True,False,True,keep,referenced_by_db_file_path_or_text
0F8EB9E130208E3B37FB4E4204CFE12941FC3FF25D2C60FDDCBD70A49800905C,2\d9436e70666d4f63a5cd26dfc91489fc.jpg,C:\panda-gallery\originals\2\d9436e70666d4f63a5cd26dfc91489fc.jpg,d9436e70666d4f63a5cd26dfc91489fc.jpg,18302,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
9C5C12B1274475D988C775B3D45669D3E0251DD4C730173E7725A916F74EAFAD,1\621f66313de9420e9141b574e9df3729.jpg,C:\panda-gallery\originals\1\621f66313de9420e9141b574e9df3729.jpg,621f66313de9420e9141b574e9df3729.jpg,23610,True,False,True,keep,referenced_by_db_file_path_or_text
9C5C12B1274475D988C775B3D45669D3E0251DD4C730173E7725A916F74EAFAD,2\e87d94f300984ad2aac94627c43cb7c3.jpg,C:\panda-gallery\originals\2\e87d94f300984ad2aac94627c43cb7c3.jpg,e87d94f300984ad2aac94627c43cb7c3.jpg,23610,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
D6D3D4D8CBE4C3AB83DA9DA35F9BCC19B33249964E1D39E4C16CC643F018D1B3,1\6cba5c589256490fb7f590adf51456c9.jpg,C:\panda-gallery\originals\1\6cba5c589256490fb7f590adf51456c9.jpg,6cba5c589256490fb7f590adf51456c9.jpg,25873,True,False,True,keep,referenced_by_db_file_path_or_text
D6D3D4D8CBE4C3AB83DA9DA35F9BCC19B33249964E1D39E4C16CC643F018D1B3,2\b7820066fd7045f8bea02a65d9d18b5a.jpg,C:\panda-gallery\originals\2\b7820066fd7045f8bea02a65d9d18b5a.jpg,b7820066fd7045f8bea02a65d9d18b5a.jpg,25873,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
73BF7847EEBC296E02861EDCDAC0757DEA1BFDB6A4F902424936261D89EE8CD9,1\7bc6238a99094a4c8b083d5e12a1bd5f.jpg,C:\panda-gallery\originals\1\7bc6238a99094a4c8b083d5e12a1bd5f.jpg,7bc6238a99094a4c8b083d5e12a1bd5f.jpg,16573,True,False,True,keep,referenced_by_db_file_path_or_text
73BF7847EEBC296E02861EDCDAC0757DEA1BFDB6A4F902424936261D89EE8CD9,2\91d5211a00c14647ad8a996889237fa1.jpg,C:\panda-gallery\originals\2\91d5211a00c14647ad8a996889237fa1.jpg,91d5211a00c14647ad8a996889237fa1.jpg,16573,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
923873FC1424B9C6134AFD5DC50DD451BBB84B5E660CD8AE8297FB6AD4613966,1\7c66e0921c024f8c974b7146b45ea0c7.jpg,C:\panda-gallery\originals\1\7c66e0921c024f8c974b7146b45ea0c7.jpg,7c66e0921c024f8c974b7146b45ea0c7.jpg,26755,True,False,True,keep,referenced_by_db_file_path_or_text
923873FC1424B9C6134AFD5DC50DD451BBB84B5E660CD8AE8297FB6AD4613966,2\fa50f92c36bf40ec866c6d21165541ed.jpg,C:\panda-gallery\originals\2\fa50f92c36bf40ec866c6d21165541ed.jpg,fa50f92c36bf40ec866c6d21165541ed.jpg,26755,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
5E4865FD55DC237FF90832BAA5A154A1634A1E35761599E1D4FE5A6332BD3A48,1\85fe71b2b22c430ea7a340ec000dc91c.jpg,C:\panda-gallery\originals\1\85fe71b2b22c430ea7a340ec000dc91c.jpg,85fe71b2b22c430ea7a340ec000dc91c.jpg,26820,True,False,True,keep,referenced_by_db_file_path_or_text
5E4865FD55DC237FF90832BAA5A154A1634A1E35761599E1D4FE5A6332BD3A48,2\e1ac8999ef5f4ec3ab768573d8b316b1.jpg,C:\panda-gallery\originals\2\e1ac8999ef5f4ec3ab768573d8b316b1.jpg,e1ac8999ef5f4ec3ab768573d8b316b1.jpg,26820,True,False,True,keep,referenced_by_db_file_path_or_text
5E4865FD55DC237FF90832BAA5A154A1634A1E35761599E1D4FE5A6332BD3A48,1\faea310eea2a4ccbad5d377ffd1f0e32.jpg,C:\panda-gallery\originals\1\faea310eea2a4ccbad5d377ffd1f0e32.jpg,faea310eea2a4ccbad5d377ffd1f0e32.jpg,26820,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A013D01B18178D9B1CA3B52DAC0CCB0EFB5C20A52749DDDED7534ED693DCE834,1\8d7ac9ae20e6434daede51768565a9c2.jpg,C:\panda-gallery\originals\1\8d7ac9ae20e6434daede51768565a9c2.jpg,8d7ac9ae20e6434daede51768565a9c2.jpg,17026,True,False,True,keep,referenced_by_db_file_path_or_text
